,name,genres,directors,writers,averageRating,numVotes,actors,original_language,production_companies,release_date,budget,revenue,runtime,status,keywords,trailer_views,trailer_likes,titleType_movie,titleType_tvMovie,director_score,writer_score,actor_score,star_score,is_documentary,genres_Action,genres_Adult,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Film-Noir,genres_History,genres_Horror,genres_Music,genres_Musical,genres_Mystery,genres_Romance,genres_Sci-Fi,genres_Sport,genres_Thriller,genres_War,genres_Western,is_holiday_release,is_competitive_month,production_popular,lang_en,lang_fr,lang_es,lang_hi,lang_ja,lang_other,has_trailer,has_keywords,keyword_embedding
0,Neptune's Daughter,Fantasy,Herbert Brenon,Leslie T. Peacocke,5.5,71.0,"Betty Garrett,Jennifer L. Yen,Monica Louwerens,Fred Wulf,Martha Russell,William Welsh,Ted de Corsia,Rhett Fisher,Leah Baird,Sean Cw Johnson,Harry Cashman,Helen Dunbar,Keith D. Robinson,Sasha Craig,Anna Wharton,Annette Kellerman,Harry Mainhall,Xavier Cugat,Herbert Brenon,Lewis Hooper,Red Skelton,Kamera Walton,Francis X. Bushman,Mel Blanc,Esther Williams,Millie Liston,William Walters,Ron Rogge,Michael Chaturantabut,William E. Shay,Edmund Mortimer,Ricardo Montalban,George Mann,Alison MacInnis,Bryant Washburn,Ruth Stonehouse,Katherine Lee,Keenan Wynn,Mrs. Allen Walker,Mike Mazurki",en,Universal Film Manufacturing Company,1914-04-25,69670326.9,181092659.70000002,95.0,Released,black and white-underwater-swimming-silent film-partially lost film-public domain,2021111.1057784425,793041.105919788,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16020966
1,The Spoilers,"Drama,Western",Colin Campbell,"Lanier Bartlett,Rex Beach",5.8,117.0,"Gregory Munroe,Kay Johnson,Rory Calhoun,William Farnum,Billy Hamon,Bessie Eyton,Ken Lynch,Richard Thomas,Judy Norton,Lloyd Ingraham,Richard Dean Anderson,James Kirkwood,Denver Pyle,Karen Berlinski,Carmen Blanck,Noah Beery,William 'Stage' Boyd,Anne Baxter,Marlene Dietrich,Mary Beth McDonough,Slim Summerville,George Cleveland,Samuel S. Hinds,Allan Lysell,Dana Elcar,Trevor Clarke,Richard Barthelmess,George Irving,Tony Bramble,Eric Scott,John Wayne,Norval MacGregor,Walter Wonderman,Tom Santschi,Dan Haggerty,Jeff Chandler,Jack McDonald,Margaret Lindsay,Harry Carey,Robert Edeson,Anna Q. Nilsson,David W. Harper,Oscar Apfel,Barbara Bedford,Thomas Rosales Jr.,Wheeler Oakman,Ford Sterling,Philip Lowrie,Randolph Scott,Number Seven,William Ryno,William S. Taylor,Ralph Waite,John McIntire,Gary Cooper,Milton Sills,Bozo the Bear,Emily Kuroda,Joan Ann Maynard,Wallace Ford,Raymond Walburn,Russell Simpson,Tom Heaton,Robert McKim,Carl Benton Reid,Don Shanks,Harry Green,Randall 'Tex' Cobb,Branscombe Richmond,Marshall Farnum,Forrest Lewis,John Elliott,Mitchell Lewis,Arnold Peters,Michael Sicoly,Barbara Britton,Kathlyn Williams,Jon Walmsley,Ray Danton,Betty Compson,Ellen Corby,Sylvester Allen,Michael Learned,Frank Clark,Will Geer,Wallace MacDonald",en,Selig Polyscope Company,1914-04-10,0.0,128612490.0,110.0,Released,alaska-silent film-nome alaska-saloon brawl-klondike gold rush-partially lost film,-854807.9663663368,838236.2334303362,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.14654171
2,The Birth of a Nation,"Drama,War",D.W. Griffith,"Thomas Dixon Jr.,D.W. Griffith,Frank E. Woods,Woodrow Wilson,John M. Hay,John G. Nicolay",6.1,27298.0,"Ralph Lewis,Lillian Gish,Dwight Henry,Armie Hammer,Mae Marsh,Patrick Brogan,Nick Busch,Penelope Ann Miller,Hannes Hatje,Peter Flak,Wallace Reid,Esther Scott,Robert Harron,Jackie Earle Haley,Walter Long,Angelika Düsing,Colman Domingo,George Siegmann,Miriam Cooper,Henry B. Walthall,Mark Boone Junior,Christoph Hemmerling,Nate Parker,Mary Alden,Aunjanue Ellis-Taylor,Aja Naomi King",en,Epoch Film Co.,1915-02-08,3105831.683168317,341641485.14851487,193.0,Released,ku klux klan-southern usa-army-racist-silent film-american civil war-reconstruction era,6904190.273216451,3549670.229191111,1.0,0.0,0,0,2,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.24819613
4,The Cheat,"Drama,Romance",Cecil B. DeMille,"Hector Turnbull,Jeanie Macpherson",6.5,2932.0,"Anwar Hussain,Neslihan Ulusoy,Héctor Tealdi,Guy Oliver,Jack Holt,Judy Stairmand,Michel Galabru,Roland Blanche,Dack Rambo,Pola Negri,Ranjeet Bedi,Roshan Gidwani,Edward Kimball,Farid Shawqi,Sandy Descher,Ty Henderson,Robert Strange,Tallulah Bankhead,Ann Andrews,Lucas Gridoux,Xavier Deluc,Jonathan Harris,Brandon Burke,Lise Delamare,Tracy Stratford,Stanley Walpole,Salvatore Striano,Richard Wayne,Robert Schable,Hind Rostom,Bill Kerr,Hector Araujo,Ebru Saritas,Ric Carrott,Maggie Cooper,Uma Dutt,Fannie Ward,Maimunah Bagharib,Vinod Khanna,Ramesh Deo,Anthony Lemke,Charles de Rochefort,Brian Tochi,Hanaki Yoshiwara,Harvey Stephens,Fabrizio Gifuni,Victor Lanoux,Davide Chiazzese,Siegfried Rauch,Dustin Butoryak,Gérard Hérold,Andac Semerci,Willard Dashiell,Elana A. Mugdan,Jeff Dockum,Guy Tréjan,Peter Brooks,Faryal,Yunus Taha Karaaslan,Valérie Mairesse,Ralph Montgomery,Anny Duperey,Sofia Banzhaf,Edward Keane,Claudia Tranchese,Pierre Magnier,Patrick Raynal,Pio Stellaccio,Marc-André Boulanger,Rebecca Gilling,James Neill,Alba Rohrwacher,Virginia Lago,Mimi Shakib,C.S. Dubey,Ed Randolph,Anthony Blackett,Suleiman Naguib,Fallon Bowman,Taha Ulukaya,Cindy Carol,Yutaka Abe,Gaia,Frank Lovejoy,Dorothy Cumming,Victor Francen,Forrest Taylor,Kareem Tristan Alleyne,Jay Fassett,Estelle Woods,William Ingersoll,Abdel Salam El-Nabulsi,Helen Dunbar,Phillip Pine,Luis Brandoni,Pier Giorgio Bellocchio,Louis Jouvet,Annarita Vitolo,Johnny Sins,Marcel Duhamel,Chance Jones,Dirk Rambo,Peter Nicoll,Loretta Young,Nan Boardman,Sessue Hayakawa,Connor Boyle,Yvonne Peattie,John Beradino,Bindu Desai,Barbara Billingsley,Jean Willes,Dana Ong,Irene Maiorino,Jack Deery,Huda Sultan,Grace Lynn Kung,Juan Manuel Alvarez,Taner Sahin,Jorge Abalo,Pamelyn Ferdin,Tincho Zabala,Cat Lemieux,Sezer Soykok,Stafford Repp,Abdel Fatah Al Kasri,Erika Scheimer,Jack Dean,Charles A. Stevenson,Keith Lee,Amy Sobol,Arthur H. Williams,Charles Villiers,Renato De Simone,Moushumi Chatterjee,Chris Benaud,Onslow Stevens,Don Philps,Rico Alaniz,Tao Porchon,John Berwick,Dick La Reno,Jess Kirkpatrick,Hazel Childers,Lucien Nat,Carl Esmond,Cem Asan,Joe Cobden,Eric Greene,Irving Pichel,Michèle Simonnet,Ethel Phillips,Rudy Germane,Elaine Lee,Kenneth MacDonald,Andrea Tenuta,Raymond Hatton,Lino Musella,James Philbrook,Mary Mounib,Ilhami Uludag,Hugo Arana,Marcos Zucker,Harun Can,Ken James,George Henare,Grigor Taylor,Beverly Washburn,Marjorie Bennett,Jean Brochard,Camilla Rountree,Ève Francis,Jankidas,Kapa Kitchen",en,Paramount-Jesse L. Lasky Feature Play Company,1915-12-13,537650.5226732674,4266325.691584159,59.0,Released,no_keywords,30409.601748591773,40408.80200757569,1.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1.267071
5,The Girl of the Golden West,"Romance,Western",Cecil B. DeMille,"David Belasco,Cecil B. DeMille",5.3,85.0,"Roderick Jones,Leo Carrillo,Bob Murphy,John Holmes,William Elmer,Terence Cooper,Josephine Veasey,Sydney Deane,Buddy Ebsen,Harry Bannister,John Kentish,Jeanie Macpherson,Anita King,Richard Carlyle,Leonard Penn,Priscilla Lawson,Edmund Donlevy,House Peters,Wilfred Lucas,Olin Howland,Ben Hendricks Jr.,James Rennie,Dennis Wicks,Sylvia Breamer,Jeanette MacDonald,Jed Prouty,Johnnie Walker,Arthur Stone,Ann Harding,George Cooper,Mabel Van Buren,Theodore Roberts,Richard L'Estrange,J. Warren Kerrigan,Elaine Malbin,Raymond Hatton,Arthur Housman,Charles McHugh,Robert Bowman,Cliff Edwards,Walter Pidgeon,J. Farrell MacDonald,Hector V. Sarno,Cecil Holland,Nelson Eddy,Tex Driscoll,Nelson McDowell,Rosemary Theby,Nigel Brooks,Russell Simpson",en,Jesse L. Lasky Feature Play Company,1915-01-04,469291.1673267327,3174905.3798019807,45.0,Released,gambling-snowstorm-silent film,15562.208308849404,43542.28735934458,1.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-0.14131594
6,Temptation,"Drama,Romance",Cecil B. DeMille,"Hector Turnbull,William C. de Mille",5.8,25.0,"Ron Eldard,Jacquie Brennan,Jonathan Rannells,John Stratton,Charles Korvin,Lovely Abella,Johnnie B.,Kevin Spirtas,Elodie Cammarata,Carla Alder,Billy Watts,Niki Karimi,Bob Bradford,Samarth Korde,Bryan Benedict,Kevin Elola,Hiromi Konno,Oxana Lesnaya,Jaden Lebel,Stewart Rome,Alexander D'Andrea,Ejike Silas Nwogu,Malou De Guzman,Zynnell Zuh,Douglas Barr,Joe Hursley,Jennifer Korbin,Anne Dyson,Kaihan Wang,Roy Dotrice,Michael Scratch,Christian Campbell,Takahito Horiuchi,Irina Narbekova,Paul Lukas,Sharon Mann,H. Jon Benjamin,Shizuka Itou,Etsuko Ichihara,Burgess Jenkins,Jamie Ramsay,Carra Patterson,Marie Therese Anglade,André Charlot,Lucy Beaumont,Patricia Durham,Lili Baross,Troy Allen,Hunter Diletti,Aubrey Mather,Chris Rasmussen,Howard Babin,David Keith,Sebastian Bull,Frank Windsor,Tiffany Chapman,Asuka Hojo,Gavin Beasley,Roman Güttinger,Renato Amoroso,Kevin Hurst,Elisabeth Moss,Yu Asakawa,George Brent,Dorothy Burr,David Hyatt,Te Ahorangi Winitana,Nao Fujishiro,Lauren May,Jason Doren,Edward Zentara,Hideyo Amamoto,Claudio Gora,Nathaly Cherie,Callum Giblin,Geraldine Farrar,Martha Ankomah,Alexander Pschill,Tatum Warren-Ngata,Emma Jackson,Vincenzo Pellegrino,Kari Matchett,Bill Fagerbakke,Kwon Sang-woo,Aki Yashiro,Klea Scott,Joanna Liszowska,Elsie Jane Wilson,Brandy Delmar,Reiko Arai,Yukana,Jay Acovone,Lee Jung-Jin,Eva Novak,Nick Sylvester,Suzie Diamond,Connie,Elyse Davis,Lucy Ameh,Joyce Ching,Maria Ciunelis,Irma Adlawan,Daryl Waters,Dawn Addams,J. Patrick McNamara,Valentina Bellè,Dan Tei Mensah,Merle Oberon,Robert Sean-R. Allen,Neil Crone,Val,Juan Rodrigo,Andrew Demetriou,Matt,Takeshi Akiyama,Chris Smits,Janine Gutierrez,Delva Benjamin,Andrew Bishop,Broderick Crawford,Ernest Joy,Gianni McLaughlin,Mayo Suzukaze,Lori Alter,Al D'Andrea,Matt Fitzgerald,Sachika Misawa,Thodoros Bristogiannis,Lynsey McCaffrey,Jennylyn Mercado,Peggy Simpson,Lydia St. Martin,Royce Cabrera,John Beavis,Park Ha-seon,Phillips Smalley,Giancarlo Bini,Rina Hidaka,Dennis Price,Tim Martinchuk,Priva,Xian Lim,Joel Hyrland,Lawrence Gray,Annette Murphy,Spyros Pappas,Ewa Ekwa,Chad White,Clive Owen,Frances Day,Kamara Bacchus,Fernand Mailly,Erin Cherry,Holly Davidson,Ben Cotton,Colin Friels,Lynn Thomas,Barbara Scaff,Rowan Schlosberg,Art Gilmore,Mickey Brantford,James Andrew Neiger,Christen Courtney,Sapphira,Marie Bell,Smaroula Giouli,Billy Bevan,Michael Redfern,Paul Byatt,Johana Lopez,Zoe Saldaña,Dayton Lummis,Stefania Careddu,Maricar De Mesa,Alice Dixson,Zachary Cirino,Roger Quartey,Irena Eremina,Viilbjørk Malling Agger,Krista Bridges,Salli Richardson-Whitfield,Miroslawa Marcheluk,Tom Chadbon,Frances Ben,Raymond Hatton,Seth Barnatt,Charles Maxwell,Al Tantay,Lance Blea,LaQuisha Marion,Dmitriy Karpov,Stephanie Lawrence,Gabriella Bourduas Rousselet,Lyle Kanouse,Ludwig Stössel,Leon Boisen,Alexis Adams,Autumn Harrison,Yasuko Sawaguchi,Gina Alajar,Hiroshi Tachi,Alexandra Fletcher,Franchot Tone,Mike Heanue,James Michael,Austin Majors,Davar Farmani,DJ Durano,Ben Adams,Ayuko Fujishiro,Valiyollah Shirandami,Aaron Shone,Zack,Christine Evangelista,Christian Marquand,Kerrie Taylor,Jun Hamamura,Edmund Joachim,Letitia Argola,Rob Schneider,Raymond Kaalund,Anthony Taylor-Doxey,Kate Robbins,Aidan Quinn,Oh Ji Myung,Kenji Kinugasa,Precious Duru,Miranda Franklin-Wall,Esme Church,Mike Tan,Nina Quezada,Kelly Wenham,Damon Dice,Dominic Hronek-Perez,Bryant Washburn,Isabella Møller Hansen,Damian Morter,Min Jeong,David Lloyd Meredith,Andries Beckers,Jean Peyrière,Sharon Tomme,Tomoaki Maeno,C. Denier Warren,Nicolette Ellis,Bianca Umali,Susannah Harker,Kevin Bellemans,Diane Burke,Natasha Anastasia,Matt Doren,Ik Ogbonna,John Bryans,Marina Sirtis,Ewa Blaszczyk,Matthew Marsh,Miriam Perry Lincoln,Justin Powell,Shatareia Stokes,Sabina Karwala,Richard J. Moir,Matthew Géczy,Peter Vaughan,Antonin Berval,Jonathan Steen,Nana Kinomi,Ashlyn Smilowitz,Rudolph Innocent,Ifeanyi Kalu,Kim So-young,Tracie Filmer,Karenina Haniel,Debbie Mouradjian,William Pawson,Michael Boughen,Sebastian Arcelus,Caroline Hellman,Gertrude Bennett,Estelle Omens,Adam Pascal,George Rossi,Katharine Isabelle,Mark Christopher Westberg,Thomas Torrey,Pedro de Cordoba,Lenore Ulric,'Slick' Chester,Bobby Ekpe,Rossana Podestà,Ken Bones,David Greenlee,Matthew Scully,Frank John,Yehuda Efroni,Galyn Görg,Helena Englert,Kathryn Tucker,Laura Gerow,Geoff Stevens,Jerome Thayu,Annette O'Toole,Rashawn Craddock,Adam Larson,Dennis Trillo,Eboni Gasaway,Shlomit Mandel,Kelvin Rowe,Hilda Rogers,Jeff Bennett,Victoria Hande,Aaron De Groeve,Arlette Dubreuil,Susanna Thompson,Salma Mumin,Sessue Hayakawa,Grace Rudder,Renn Woods,Guy Meroz,Yumiko Shinozaki,Tomio Aoki,Mirabelle Kirkland,Gary Beardsmore,Anar,Stuart Rigby,Ben,Jeff Poole,Kate Atkinson,Michael Schermi,Lana Tailor,Nikolas Holmes,Valeen Montenegro,Risa Hayamizu,Gordon Gostelow,Eric Luna,Alan David Lee,Cheryl BryantBruce,David Havins,Lauren Landa,Josh Orobia,Jonathan E.W. Patton,Mia de La Vega,Yuu Ayase,Claudia Victrix,Victor McGuire,Lyn Vaus,Adrien Cannon,Klairi Deligianni,John J. Richardson,Masahiko Ni",en,Jesse L. Lasky Feature Play Company,1915-12-15,697942.4958415843,3181520.801287129,60.0,Released,lost film,32979.98874153826,36956.12866434809,1.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-0.8522423
7,A Daughter of the Gods,Drama,Herbert Brenon,"Herbert Brenon,Hetty Gray Baker",6.7,72.0,"Stuart Holmes,Hal De Forest,Millie Liston,Jane Lee,Annette Kellerman,Marcelle Hontabat,Ricca Allen,Katherine Lee,William E. Shay,Violet Horner",en,Fox Film Corporation,1916-10-16,28778807.33944954,40002542.20183486,180.0,Released,no_keywords,503460.9094152773,410586.1711967343,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1.267071
8,Maria Rosa,Drama,Cecil B. DeMille,"Wallace Gilpatrick,Àngel Guimerà,Guido Marburg,William C. de Mille",6.7,31.0,"Horace B. Carpenter,Pedro de Cordoba,Ernest Joy,Pep Torrents,Francesc Figuerola,Anita King,James Neill,Joan Pera,Albert Moya,Marta Angelat,Carles Velat,Wallace Reid,Josep Ballester,Pere Alcázar,Montserrat Carulla,Miguel Viadé,Geraldine Farrar",en,Jesse L. Lasky Feature Play Company,1916-05-07,534566.3463302753,2957540.4726605504,50.0,Released,no_keywords,2940.839020724118,37966.17504727949,1.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1.267071
9,Mickey,"Comedy,Drama","F. Richard Jones,James Young","Hampton Del Ruth,J.G. Hawks",6.1,1201.0,"Luke Burge,Jason Kypros,John Sutton,Daniel Sunjata,Lenny Clarke,Alan Reed,Steven Pasquale,Minnie Devereaux,Adrian Tate,Tom Kennedy,Gerald Maliqi,Beverly Wills,Andrew Call,Mabel Normand,Roxana Popescu,Luifer Rodríguez,James Hong,Rose Hobart,Denis Leary,Laura La Varnie,Alexander Roos,Jake Hurwitz,Stephen Chambers,Edna Bennett,Mickey Rooney,Aaron Allen,Brian Nash,Kelby Joseph,Lucia Romero,Emmaline Henry,Nicole Greevy,Hattie McDaniel,Daniel V. Graulau,Mark Joy,George Nichols,William Colvin,Harry Connick Jr.,Andrea Roth,Ursula Calder,Luke Sholl,Mike Starr,Danny Bell,Gill Baker,Skip Homeier,Courtney Griffith,Michelle Johnson,Sarah Davenport,Tyler Foden,Bill Goodwin,Lois Butler,Sammee Tong,Wheeler Oakman,Larenz Tate,Tj Bledsoe,Shawn Salinas,Eddie Prunoske,Michael Lombardi,Stan Kelly,Leon Tyler,Tim Rooney,Shadii Samaad,Stevey Hunter,Adam Ferrara,Louis Barron,Daycia D. Harley,Antonio Esquivias,Peter Sarty,Spencer House,Dennis Hill,Callie Thorne,Dort Clark,Amir Blumenfeld,Courtney Lin,Lew Cody,Joe Bordeaux,Matt Randall,Bobby Van,Spencer Weitzel,Aman Chaudhry,Minta Durfee,Jay Spece,John Scurti,Wayne Stam,Irene Hervey,Callum Horncastle",en,Mabel Normand Feature Film Company,1918-08-01,5193526.490066226,166192847.68211922,71.0,Released,new york city-horse race-fish out of water-orphan-silent film,4389623.044343298,2408817.7975008064,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.119338274
10,Broken Blossoms,"Drama,Romance",D.W. Griffith,"Thomas Burke,D.W. Griffith",7.2,11403.0,"Ernest Sefton,Dolly Haas,Lillian Gish,Edith Sharpe,Ernest Butterworth,George Beranger,Richard Barthelmess,Arthur Margetson,Arthur Howard,Norman Selby,Ernest Jay,Gibb McLaughlin,Frederic Hamen,Donald Crisp,Emlyn Williams,Bertha Belmore,Wilbur Higby,Basil Radford,C.V. France,Edward Peil Sr.",en,United Artists-D.W. Griffith Productions,1919-05-13,0.0,43517549.132947974,89.0,Released,london england-suicide-china-boxer-buddhist-murder-racism-black and white-alcoholic-silent film-based on short story,602262.0916646358,921623.1281644062,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.43174386
